repo,owner,url,forks,stars
java-design-patterns,iluwatar,https://api.github.com/repos/iluwatar/java-design-patterns,15847,48837
JavaGuide,Snailclimb,https://api.github.com/repos/Snailclimb/JavaGuide,15195,47157
spring-boot,spring-projects,https://api.github.com/repos/spring-projects/spring-boot,25779,39769
RxJava,ReactiveX,https://api.github.com/repos/ReactiveX/RxJava,6696,39653
interviews,kdn251,https://api.github.com/repos/kdn251/interviews,7210,35522
LeetCodeAnimation,MisterBooo,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,5617,34583
okhttp,square,https://api.github.com/repos/square/okhttp,7302,33249
retrofit,square,https://api.github.com/repos/square/retrofit,6127,32938
guava,google,https://api.github.com/repos/google/guava,7276,32487
spring-framework,spring-projects,https://api.github.com/repos/spring-projects/spring-framework,19562,30531
MPAndroidChart,PhilJay,https://api.github.com/repos/PhilJay/MPAndroidChart,7207,27743
dubbo,apache,https://api.github.com/repos/apache/dubbo,18229,27625
glide,bumptech,https://api.github.com/repos/bumptech/glide,4909,26444
lottie-android,airbnb,https://api.github.com/repos/airbnb/lottie-android,4080,25952
proxyee-down,proxyee-down-org,https://api.github.com/repos/proxyee-down-org/proxyee-down,4424,24471
advanced-java,doocs,https://api.github.com/repos/doocs/advanced-java,6105,24166
butterknife,JakeWharton,https://api.github.com/repos/JakeWharton/butterknife,4565,24147
AndroidUtilCode,Blankj,https://api.github.com/repos/Blankj/AndroidUtilCode,7875,23956
zxing,zxing,https://api.github.com/repos/zxing/zxing,8208,22982
JCSprout,crossoverJie,https://api.github.com/repos/crossoverJie/JCSprout,5914,21382
netty,netty,https://api.github.com/repos/netty/netty,9034,19860
Hystrix,Netflix,https://api.github.com/repos/Netflix/Hystrix,3628,17697
mall,macrozheng,https://api.github.com/repos/macrozheng/mall,6586,17220
picasso,square,https://api.github.com/repos/square/picasso,3932,16862
p3c,alibaba,https://api.github.com/repos/alibaba/p3c,3888,16632
ghidra,NationalSecurityAgency,https://api.github.com/repos/NationalSecurityAgency/ghidra,2039,16289
gson,google,https://api.github.com/repos/google/gson,3176,15984
fresco,facebook,https://api.github.com/repos/facebook/fresco,3656,15701
tutorials,eugenp,https://api.github.com/repos/eugenp/tutorials,22579,15380
apollo,ctripcorp,https://api.github.com/repos/ctripcorp/apollo,5383,15218
ExoPlayer,google,https://api.github.com/repos/google/ExoPlayer,4040,13457
jenkins,jenkinsci,https://api.github.com/repos/jenkinsci/jenkins,5469,13317
kafka,apache,https://api.github.com/repos/apache/kafka,6800,12680
bazel,bazelbuild,https://api.github.com/repos/bazelbuild/bazel,2020,12360
java8-tutorial,winterbe,https://api.github.com/repos/winterbe/java8-tutorial,2763,11817
Signal-Android,signalapp,https://api.github.com/repos/signalapp/Signal-Android,3001,11647
lottie-react-native,react-native-community,https://api.github.com/repos/react-native-community/lottie-react-native,1133,11510
AndroidSwipeLayout,daimajia,https://api.github.com/repos/daimajia/AndroidSwipeLayout,2641,11287
stetho,facebook,https://api.github.com/repos/facebook/stetho,1029,11220
mybatis-3,mybatis,https://api.github.com/repos/mybatis/mybatis-3,7054,11190
SlidingMenu,jfeinstein10,https://api.github.com/repos/jfeinstein10/SlidingMenu,5352,11178
deeplearning4j,eclipse,https://api.github.com/repos/eclipse/deeplearning4j,4697,10960
androidannotations,androidannotations,https://api.github.com/repos/androidannotations/androidannotations,2452,10827
GSYVideoPlayer,CarGuo,https://api.github.com/repos/CarGuo/GSYVideoPlayer,2410,10723
disruptor,LMAX-Exchange,https://api.github.com/repos/LMAX-Exchange/disruptor,2699,10722
AndroidViewAnimations,daimajia,https://api.github.com/repos/daimajia/AndroidViewAnimations,2250,10670
react-native-navigation,wix,https://api.github.com/repos/wix/react-native-navigation,2268,10452
HikariCP,brettwooldridge,https://api.github.com/repos/brettwooldridge/HikariCP,1590,10444
bytecode-viewer,Konloch,https://api.github.com/repos/Konloch/bytecode-viewer,655,10357
Luban,Curzibn,https://api.github.com/repos/Curzibn/Luban,1787,10300
Android-PickerView,Bigkoo,https://api.github.com/repos/Bigkoo/Android-PickerView,2597,10212
ARouter,alibaba,https://api.github.com/repos/alibaba/ARouter,1702,10142
ViewPagerIndicator,JakeWharton,https://api.github.com/repos/JakeWharton/ViewPagerIndicator,4237,10126
VasSonic,Tencent,https://api.github.com/repos/Tencent/VasSonic,1373,9905
vert.x,eclipse-vertx,https://api.github.com/repos/eclipse-vertx/vert.x,1554,9856
Matisse,zhihu,https://api.github.com/repos/zhihu/Matisse,1465,9757
cat,dianping,https://api.github.com/repos/dianping/cat,3440,9739
redisson,redisson,https://api.github.com/repos/redisson/redisson,2383,9727
vlayout,alibaba,https://api.github.com/repos/alibaba/vlayout,1663,9596
graal,oracle,https://api.github.com/repos/oracle/graal,605,9555
springboot-learning-example,JeffLi1993,https://api.github.com/repos/JeffLi1993/springboot-learning-example,5203,9981
VasSonic,Tencent,https://api.github.com/repos/Tencent/VasSonic,1373,9905
vert.x,eclipse-vertx,https://api.github.com/repos/eclipse-vertx/vert.x,1554,9856
Matisse,zhihu,https://api.github.com/repos/zhihu/Matisse,1465,9757
cat,dianping,https://api.github.com/repos/dianping/cat,3440,9739
redisson,redisson,https://api.github.com/repos/redisson/redisson,2383,9727
android-Ultra-Pull-To-Refresh,liaohuqiu,https://api.github.com/repos/liaohuqiu/android-Ultra-Pull-To-Refresh,2831,9656
graal,oracle,https://api.github.com/repos/oracle/graal,605,9555
dbeaver,dbeaver,https://api.github.com/repos/dbeaver/dbeaver,797,9529
RxTool,vondear,https://api.github.com/repos/vondear/RxTool,2349,9443
PocketHub,pockethub,https://api.github.com/repos/pockethub/PocketHub,3655,9429
Android-ObservableScrollView,ksoichiro,https://api.github.com/repos/ksoichiro/Android-ObservableScrollView,2107,9392
JiaoZiVideoPlayer,lipangit,https://api.github.com/repos/lipangit/JiaoZiVideoPlayer,2198,9332
Arduino,arduino,https://api.github.com/repos/arduino/Arduino,6537,9329
okhttp-OkGo,jeasonlzy,https://api.github.com/repos/jeasonlzy/okhttp-OkGo,2277,9310
canal,alibaba,https://api.github.com/repos/alibaba/canal,3227,9299
recyclerview-animators,wasabeef,https://api.github.com/repos/wasabeef/recyclerview-animators,1796,9293
hadoop,apache,https://api.github.com/repos/apache/hadoop,5776,9256
PermissionsDispatcher,permissions-dispatcher,https://api.github.com/repos/permissions-dispatcher/PermissionsDispatcher,1253,9124
MaterialDesignLibrary,navasmdc,https://api.github.com/repos/navasmdc/MaterialDesignLibrary,2398,9052
storm,nathanmarz,https://api.github.com/repos/nathanmarz/storm,1771,9049
mockito,mockito,https://api.github.com/repos/mockito/mockito,1611,9007
DoraemonKit,didi,https://api.github.com/repos/didi/DoraemonKit,1082,8955
pinpoint,naver,https://api.github.com/repos/naver/pinpoint,2745,8925
uCrop,Yalantis,https://api.github.com/repos/Yalantis/uCrop,1579,8863
FlycoTabLayout,H07000223,https://api.github.com/repos/H07000223/FlycoTabLayout,1907,8800
Android-PullToRefresh,chrisbanes,https://api.github.com/repos/chrisbanes/Android-PullToRefresh,5018,8791
AVLoadingIndicatorView,81813780,https://api.github.com/repos/81813780/AVLoadingIndicatorView,1721,8705
SpringCloudLearning,forezp,https://api.github.com/repos/forezp/SpringCloudLearning,4698,8667
FileDownloader,lingochamp,https://api.github.com/repos/lingochamp/FileDownloader,1772,8603
banner,youth5201314,https://api.github.com/repos/youth5201314/banner,1712,8525
MVPArms,JessYanCoding,https://api.github.com/repos/JessYanCoding/MVPArms,2000,8411
Apktool,iBotPeaches,https://api.github.com/repos/iBotPeaches/Apktool,2157,8397
Calligraphy,chrisjenx,https://api.github.com/repos/chrisjenx/Calligraphy,1064,8304
incubator-druid,apache,https://api.github.com/repos/apache/incubator-druid,2077,8302
jedis,xetorthio,https://api.github.com/repos/xetorthio/jedis,3093,8273
guice,google,https://api.github.com/repos/google/guice,1231,8256
rocketmq,apache,https://api.github.com/repos/apache/rocketmq,4217,8229
webmagic,code4craft,https://api.github.com/repos/code4craft/webmagic,3509,8150
MaterialViewPager,florent37,https://api.github.com/repos/florent37/MaterialViewPager,1509,8000
